produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_shale_gas,produccion_tight_gas,anio,produccion_no_convencional,produccion_convencional,mes
820011.1089,345268.8881,2711716.3722,112697.4068,4262.5144,3993956.2904,1624372.756301,614751.71460702,2023,2239124.47090802,1754831.8194919797,3
751579.7636,330040.9038,2668665.9119,108649.571,4193.4602,3863129.6105,1547553.073722378,640749.28699297,2023,2188302.360715348,1674827.2497846521,4
811668.3283,347233.105,2908748.7123,111650.236,4543.2083,4183843.5899,1776050.186548681,662093.361549,2023,2438143.5480976813,1745700.0418023188,5
792241.5695,340376.0596,2901327.3032,107646.5083,4568.5703,4146160.0109,1856147.33018305,615205.46650198,2023,2471352.7966850298,1674807.2142149704,6
802933.0459,353818.5402,3010809.3872,110597.483,4600.1861,4282758.6424,1991621.8764800432,578388.81426101,2023,2570010.6907410533,1712747.951658947,7
803914.9185,352104.1613,3206325.8261,109707.3707,4536.2659,4476588.5425,2104036.1771526127,656175.83356401,2023,2760212.0107166227,1716376.5317833778,8
770758.9054,343925.1659,3072055.7154,105241.7334,4526.9737,4296508.4938,2002690.6235242428,641295.00206202,2023,2643985.625586263,1652522.8682137374,9
781951.9058,357851.9851,2652602.5235,108316.5733,4342.2296,3905065.2173,1750411.592007,501739.02205699,2023,2252150.61406399,1652914.6032360103,10
714730.338,337056.6725,2629891.2073,104024.1371,3886.2861,3789588.641,1757671.494277,534129.509748995,2023,2291801.004025995,1497787.636974005,11
665455.878,347020.9495,2415009.672,107007.8136,4241.8615,3538736.1746,1581488.248229,477245.4697925,2023,2058733.7180215,1480002.4565785,12
682615.5851,342479.7818,2702096.6806,106192.3961,4557.406,3837941.8496,1736564.250537,569147.4291064,2024,2305711.6796434,1532230.1699565998,1
716014.8637,322065.9309,2746594.3758,98939.474,4046.6169,3887661.2613,1776894.330184738,567210.3794942,2024,2344104.7096789377,1543556.5516210622,2
763206.2694,335240.9224,2966386.1653,105303.5847,4272.1584,4174409.1002,1924896.0010898248,620220.5491048,2024,2545116.550194625,1629292.5500053754,3
724633.3455,319269.5915,2934957.3876,101464.2804,4405.7685,4084730.3735,1916375.453259036,600625.776807375,2024,2517001.230066411,1567729.143433589,4
772023.9466,333597.1345,3439697.6475,104719.0544,4333.6403,4654371.4233,2388109.7427376336,631738.48305511,2024,3019848.2257927437,1634523.1975072562,5
720480.694,315399.8976,3286134.8811,100386.1993,4337.4743,4426739.1463,2326445.930550384,562173.3619281,2024,2888619.292478484,1538119.853821516,6
744960.7183,312646.0556,3544368.995,103516.4432,3581.3832,4709073.5953,2557355.0798933,593572.6007824,2024,3150927.6806757,1558145.9146243003,7
743659.486,331390.8932,3560944.3681,104424.1432,3592.2656,4744011.1561,2589597.663563313,560832.779778,2024,3150430.443341313,1593580.7127586873,8
725994.4009,321563.0159,3264607.0317,100913.1159,3488.3859,4416565.9503,2353369.167624859,520083.8163133,2024,2873452.983938159,1543112.9663618407,9
804422.2286,330683.5868,2883778.0906,105619.802,3578.4419,4128082.1499,2002153.1950499793,503395.808097269,2024,2505549.003147248,1622533.146752752,10
737680.6943,310780.8096,2662173.3698,101260.9692,3431.558,3815327.4009,1859696.6678959609,451893.46306965,2024,2311590.130965611,1503737.2699343888,11
723347.5662,325201.7771,2702780.2275,104054.2108,3619.6115,3859003.3931,1899850.312192762,459172.9392705,2024,2359023.251463262,1499980.141636738,12
